Verse Number, Verse Text
1,O COME ye hither sit ye down: to Indra sing ye forth your song companions bringing hymns of praise. 
2,To him the richest of the rich the Lord of treasures excellent 
3,May he stand by us in our need and in abundance for our wealth: 
4,Whose pair of tawny horses yoked in battles foemen challenge not: 
5,Nigh to the Soma-drinker come for his enjoyment these pure drops 
6,Thou grown at once to perfect strength wast born to drink the Soma juice Strong Indra for preeminence. 
7,O Indra lover of the song may these quick Somas enter thee: 
8,Our chants of praise have strengthened thee O Satakratu and our lauds So strengthen thee the songs we sing. 
9,Indra whose succour never fails accept these viands thousandfold Wherein all manly powers abide. 
10,O Indra thou who lovest song let no man hurt our bodies keep Slaughter far from us for thou canst. 
1,They who stand round him as he moves harness the bright the ruddy Steed The lights are shining in the sky. 
2,On both sides to the car they yoke the two bay coursers dear to him. 
3,Thou making light where no light was and form O men: where form was not Wast born together with the Dawns. 
4,Thereafter they as is their wont threw off the state of babes unborn. Assuming sacrificial names. 
5,Thou Indra with the Tempest-Gods the breakers down of what is firm ' Foundest the kine even in the cave. 
6,Worshipping even as they list singers laud him who findeth wealth 
7,Mayest thou verily be seen coming by fearless Indra's side: 
8,With Indra's well beloved hosts the blameless hastening to heaven 
9,Come from this place O Wanderer or downward from the light of heaven: 
10,Indra we seek to give us help from here from heaven above the earth. 
1,INDRA the singers with high praise Indra reciters with their lauds 
2,Indra hath ever close to him his two bay steeds and word-yoked car 
3,Indra hath raised the Sun on high in heaven that he may see afar: 
4,Help us O Indra in the frays yea frays where thousand spoils are gained With awful aids O awful One. 
5,In mighty battle we invoke Indra Indra in lesser fight. 
6,Unclose our manly Hero thou for ever bounteous yonder cloud 
7,Still higher at each strain of mine thunder-armed Indra's praises rise: 
8,Even as the bull drives on the herds he drives the people with his might. The Ruler irresistible: 
9,Indra who rules with single sway men riches and the fivefold race Of those who dwell upon the earth. 
10,For your sake from each side we call Indra away from other men: 
1,INDRA bring wealth that gives delight the victor's ever-conquering wealth. Most excellent to be ou r aid; 
2,By means of which we may repel our foes in battle hand to hand 
3,Aided by thee the thunder-armed Indra may we lift up the bolt. 
4,With thee O India for ally with missile-darting heroes may We conquer our embattled foes. 
5,Mighty is Indra yea supreme; greatness be his the Thunderer: 
6,Which aideth those to win them sons who come as heroes to the fight. 
7,His belly drinking deepest draughts of Soma like an ocean swells 
8,So also is his excellence great vigorous rich in cattle like A ripe branch to the worshipper. 
9,For verily thy mighty powers Indra are saving helps at once Unto a worshipper like me. 
10,So are his lovely gifts; let lauds and praises be to Indra sung. 
1,COME Indra and delight thee with the juice at all the Soma feasts 
2,To Indra pour ye forth thejuice the active gladdening juice to him He gladdening oinnific God. 
3,O Lord of all men fair of cheek rejoice thee in the gladdening lauds 
4,Songs have outpoured themselves to thee Indra the strong the guardian Lord And raised themselves unsatisfied. 
5,Send to us bounty manifold O Indra worthy of our wish. 
6,O Indra stimulate thereto us emulously fain for wealth. 
7,Give Indra wide and lofty fame wealthy in cattle and in strength. 
8,Grant us high fame O Indra grant riches bestowing thousands those Pair fruits of earth borne home in wains. 
9,Praising with songs the praise-worthy who cometh to our aid we call Indra the Treasure-Lord of wealth. 
10,To lofty Indra dweller by each libation the pious man Sings forth aloud a strengthening hymn. 
1,THE chanters hymn thee they who say the word of praise magnify thee. 
2,As up he clomb from ridge to ridge and looked upon the toilsome task 
3,Harness thy pair of strong bay steeds long-maned whose bodies fill the girths And Indra Soma-drinker come to listen to our songs of praise. 
4,Come hither answer thou the song sing in approval cry aloud. 
5,To Indra must a laud be said to strengthen him who freely gives 
6,Him him we seek for friendship him for riches and heroic might. 
7,Easy to turn and drive away Indra is spoil bestowed by thee. 
8,The heaven and earth contain thee not together in thy wrathful mood. 
9,Hear thou whose ear is quick my call; take to thee readily my songs O Indra let this laud of mine come nearer even than thy friend. 
10,We know thee mightiest of all in battles hearer of our cry. 
110,Indra Son of Kusika drink our libation with delight. 
12,Lover of song may these our songs on every side encompass thee: Strengthening thee of lengthened life may they be dear delights to thee. 
1,ALL sacred songs have magnified Indra expansive as the sea 
2,Strong in thy friendship Indra Lord of power and might we have no fear. We glorify with praises thee the never-conquered conqueror. 
3,The gifts of Indra from of old his saving succours never fail 
4,Crusher of forts the young the wise of strength unmeasured was he born Sustainer of each sacred rite Indra the Thunderer much-extolled. 
5,Lord of the thunder thou didst burst the cave of Vala rich in cows. 
6,I Hero through thy bounties am come to the flood addressing thee. Song-lover here the singers stand and testify to thee thereof. 
7,The wily Susna Indra! thou o'er-threwest with thy wondrous powers. 
8,Our songs of praise have glorified Indra who ruleth by his might 
1,WE choose Agni the messenger the herald master of all wealth. 
2,With callings ever they invoke Agni Agni Lord of the House Oblation-bearer much beloved. 
3,Bring the Gods hither Agni born for him who strews the sacred grass: Thou art our herald meet for praise. 
4,Wake up the willing Gods since thou Agni performest embassage: 
5,O Agni radiant One to whom the holy oil is poured bum up Our enemies whom fiends protect. 
6,By Agni Agni is inflamed Lord of the House wise young who bears The gift: the ladle is his mouth. 
7,Praise Agni in the sacrifice the Sage whose ways are ever true 
8,God Agni be his strong defence who lord of sacrificial gifts Worshippeth thee the messenger. 
9,Whoso with sacred gift would fain call Agni to the feast of Gods 
10,Such Agni Purifier bright bring hither to our sacrifice 
1,1 So lauded by our newest song of praise bring opulence to us 
12,O Agni by effulgent flame by all invokings of the Gods Show pleasure in this laud of ours. 
1,AGNI well-kindled bring the Gods for him who offers holy gifts. Worship them. Purifier Priest. 
2,Son of Thyself present O Sage our sacrifice to the Gods today. Sweet to the taste that they may feast. 
3,Dear Narasamsa sweet of tongue the giver of oblations 1 Invoke to this our sacrifice. 
4,Agni on thy most easy car glorified hither bring the Gods: 
5,Strew O ye wise the sacred grass that drips with oil in order due Where the Immortal is beheld. 
6,Thrown open be the Doors Divine unfailing that assist the rite For sacrifice this day and now. 
7,I call the lovely Night and Dawn to seat them on the holy grass At this our solemn sacrifice. 
8,The two Invokers I invite the wise divine and sweet of tongue 
9,Ila Sarasvati Mahi three Goddesses who bring delight. 
10,Tvastar I call the earliest born the wearer of all forms at will: May he be ours and curs alone. 
1,1 God Sovran of the Wood present this our oblation to the Gods And let the giver be renowned. 
12,With Svaha. pay the sacrifice to Indra in the offerer's house: Thither I call the Deities. 
1,To drink the Soma Agni come to our service and our songs. 
2,The Kanvas have invoked thee; they O Singer sing thee songs of praise Agni come hither with the Gods; 
3,Indra Vayu Brhaspati Mitra Agni Pusan Bhaga 
4,For you these juices are poured forth that gladden and exhilarate 
5,The sons of Kanva fain for help adore thee having strewn the grass 
6,Let the swift steeds who carry thee thought-yoked and dropping holy oil Bring the Gods to the Soma draught. 
7,Adored the strengtheners of Law unite them Agni with their Dames: Make them drink meath O bright of tongue. 
8,Let them O Agni who deserve worship and praise drink with thy tongue Tie meath in solemn sacrifice. 
9,Away from the Sun's realm of light the wise invoking Priest shall bring All Gods awaking with the dawn. 
10,With all the Gods with Indra with Vayu and Mitra's splendours drink Agni the pleasant Soma juice. 
1,1 Ordained by Manu as our Priest thou sittest Agni at each rite: 
12,Harness the Red Mares to thy car the Bays O God the flaming ones: With those bring hitherward the Gods. 
1,O INDRA drink the Soma juice with Rtu; let the cheering drops Sink deep within which settle there. 
2,Drink from the Purifier's cup Maruts with Rtu; sanctify The rite for ye give precious gifts. 
3,O Nestar with thy Dame accept our sacrifice; with Rtu drink 
4,Bring the Gods Agni; in the three appointed places set them down: 
5,Drink Soma after the Rtus from the Brahmana's bounty: undissolved 
6,Mitra Varuna ye whose ways are firm - a Power that none deceives- 
7,The Soma-pressers fain for wealth praise the Wealth-giver in the rite 
8,May the Wealth-giver grant to us riches that shall be far renowned. 
9,He with the Rtu fain would drink Wealth-giver from the Nestar's bowl. 
10,As we this fourth time. Wealth-giver honour thee with the Rtus be A Giver bountiful to us. 
1,1 Drink ye the meath O Asvins bright with flames whose acts are pure who with Rtus accept the sacrifice. 
12,With Rtu through the house-fire thou kind Giver guidest sacrifice: 
1,LET thy Bay Steeds bring thee the Strong hither to drink the Soma draught- Those Indra who are bright as suns. 
2,Here are the grains bedewed with oil: hither let the Bay Coursers bring Indra upon his easiest car. 
3,Indra at early morn we call Indra in course of sacrifice 
4,Come hither with thy long-maned Steeds O Indra to- the draught we pour We call thee wher the juice is shed. 
5,Come thou to this our song of praise to the libation poured for thee Drink of it like a stag athirst. 
6,Here are the drops of Soma juice expressed on sacred grass: thereof Drink Indra to increase thy might. 
7,Welcome to thee be this our hymn reaching thy heart most excellent: 
8,To every draught of pressed-out juice Indra the Vrtra-slayer comes 
9,Fulfil O Satakratu all our wish with horses and with kine: 
1,I CRAVE help from the Imperial Lords from Indra-Varuna; may they Both favour one of us like me. 
2,Guardians of men ye ever come with ready succour at the call Of every singer such as I. 
3,Sate you according to your wish O Indra-Varuna with wealth: 
4,May we be sharers of the powers sharers of the benevolence Of you who give strength bounteously. 
5,Indra and Varuna among givers of thousands meet for praise 
6,Through their protection may we gain great store of wealth and heap it up Enough and still to spare be ours. 
7,O Indra-Varuna on you for wealth in many a form I call: 
8,O Indra-Varuna - through our songs that seek to win you to ourselves Give us at once your sheltering help. 
9,O Indra-Varuna to you may fair praise which I offer come joint eulogy which ye dignify. 
1,O BRAHMANAPSATI make him who presses Soma glorious 
2,The rich the healer of disease who giveth wealth increaseth store 
3,Let not the foeman's curse let not a mortal's onslaught fall on us Preserve us Brahmanaspati. 
4,Ne'er is the mortal hero harmed whom Indra Brahmanaspati 
5,Do thou O Brahmanaspati and Indra Soma Daksina 
6,To the Assembly's wondrous Lord to Indra's lovely Friend who gives Wisdom have I drawn near in prayer. 
7,He without whom no sacrifice e'en of the wise man prospers; he Stirs up the series of thoughts. 
8,He makes the oblation prosper he promotes the course of sacrifice: Our voice of praise goes to the Gods. 
9,I have seen Narasamsa him most resolute most widely famed 
1,To this fair sacrifice to drink the milky draught thou art invoked: 
2,No mortal man no God exceeds thy mental power O Mighty one - O Agni with the Maruts come 
3,All Gods devoid of guile who know the mighty region of mid-air: 
4,The terrible who sing their song not to be overcome by might: 
5,Brilliant and awful in their form mighty devourers of their foes': 
6,Who sit as Deities in heaven above the sky-vault's luminous sphere: 
7,Who scatter clouds about the sky away over the billowy sea: 
8,Who with their bright beams spread them forth over the ocean in their might O Agni with those Maruts come. 
9,For thee to be thine early draught I pour the Soma-mingled meath: 
1,FOR the Celestial Race this song of praise which gives wealth lavishly Was made by singers with their lips. 
2,They who for Indra with their mind formed horses harnessed by a word Attained by works to sacrifice. 
3,They for the two Nasatyas wrought a light car moving every way: 
4,The Rbhus with effectual prayers honest with constant labour made Their Sire and Mother young again. 
5,Together came your gladdening drops with Indra by the Maruts girt. 
6,The sacrificial ladle wrought newly by the God Tvastar's hand- Four ladles have ye made thereof. 
7,Vouchsafe us wealth to him who pours thrice seven libations yea to each Give wealth pleased with our eulogies. 
8,As ministering Priests they held by pious acts they won themselves A share in sacrifice with Gods. 
1,INDRA and Agni I invoke fain are we for their song of praise Chief Soma-drinkers are they both. 
2,Praise ye O men and glorify Indra-Agni in the holy rites: 
3,Indra and Agni we invite the Soma-drinkers for the fame Of Mitra to the Soma-draught. 
4,Strong Gods we bid them come to this libation that stands ready here: 
5,Indra and Agni mighty Lords of our assembly crush the fiends: 
6,Watch ye through this your truthfulness there in the place of spacious view Indra and Agni send us bliss. 
1,WAKEN the Asvin Pair who yoke their car at early morn: may they Approach to drink this Soma juice. 
2,We call the Asvins Twain the Gods borne in a noble car the best Of charioteers who reach the heavens. 
3,Dropping with honey is your whip Asvins and full of pleasantness Sprinkle therewith the sacrifice. 
4,As ye go thither in your car not far O Asvins is the home Of him who offers Soma juice. 
5,For my protection I invoke the golden-handed Savitar. 
6,That he may send us succour praise the Waters' Offspring Savitar: 
7,We call on him distributer of wondrous bounty and of wealth. 
8,Come hither friends and seat yourselves Savitar to be praised by us Giving good gifts is beautiful. 
9,O Agni hither bring to us the willing Spouses of the Gods 
10,Most youthful Agni hither bring their Spouses Hotra Bharati 
1,1 Spouses of Heroes Goddesses with whole wings may they come to us With great protection and with aid. 
12,Indrani Varunani and Agnayi hither I invite 
13,May Heaven and Earth the Mighty Pair bedew for us our sacrifice 
14,Their water rich with fatness there in the Gandharva's steadfast place 
15,Thornless be thou O Earth spread wide before us for a dwelling-place: Vouchsafe us shelter broad and sure. 
16,The Gods be gracious unto us even from the place whence Visnu strode Through the seven regions of the earth! 
17,Through all this world strode Visnu; thrice his foot he planted and the whole Was gathered in his footstep's dust. 
18,Visnu the Guardian he whom none deceiveth made three steps; thenceforth Establishing his high decrees. 
19,Look ye on Visnu's works whereby the Friend of Indra close-allied. 
20,The princes evermore behold that loftiest place where Visnu is 
21,This Vishnu's station most sublime the singers ever vigilant 
1,STRONG are the Somas; come thou nigh; these juices have been mixt with milk: Drink Vayu the presented draughts. 
2,Both Deities who touch the heaven Indra and Vayu we invoke To drink of this our soma juice. 
3,The singers' for their aid invoke Indra and Vayu swift as mind 
4,Mitra and Varupa renowned as Gods of consecrated might. 
5,Those who by Law uphold the Law Lords of the shining light of Law 
6,Let Varuna be our chief defence let Mitra guard us with all aids Both make us rich exceedingly. 
7,Indra by Maruts girt we call to drink the Soma juice: may he Sate him in union with his troop. 
8,Gods Marut hosts whom Indra leads distributers of Pusan's gifts 
9,With conquering Indra for ally strike Vrtra down ye bounteous Gods Let not the wicked master us. 
10,We call the Universal Gods and Maruts to the Soma draught 
1,1 Fierce comes the Maruts' thundering voice like that of conquerors when ye go Forward to victory O Men. 
12,Born of the laughing lightning may the Maruts guard us everywhere May they be gracious unto Us. 
13,Like some lost animal drive to us bright Pusan him who bears up heaven Resting on many-coloured grass. 
14,Pusan the Bright has found the King concealed and bidden in a cave 
15,And may he. duly bring to me the six bound closely through these drops As one who ploughs with steers brings corn. 
16,Along their paths the Mothers go Sisters of priestly ministrants 
17,May Waters gathered near the Sun and those wherewith the Sun is joined Speed forth this sacrifice of ours. 
181,call the Waters Goddesses wherein our cattle quench their thirst; Oblations to the Streams be given. 
19,A m l it is in the Waters in the Waters there is healing balm Be swift ye Gods to give them praise. 
20,Within the Waters-Soma thus hath told me-dwell all balms that heal 
210,Waters teem with medicine to keep my body safe from harm. 
22,Whatever sin is found in me whatever evil I have wrought. 
23,The Waters I this day have sought and to their moisture have we come: 
24,Fill me with splendour Agni; give offspring and length of days; the Gods Shall know me even as I am and Indra with the Rsis know. 
1,WHO now is he what God among Immortals of whose auspicious name we may bethink us? Who shall to mighty Aditi restore us that I may see my Father and my Mother? 
2,Agni the God the first among the Immortals - of his auspicious name let us bethink us. 
3,To thee O Savitar the Lord of precious things who helpest us Continually for our share we come- 
4,Wealth highly lauded ere reproach hath fallen on it which is laid 
5,Through thy protection may we come to even the height of affluence Which Bhaga hath dealt out to us. 
6,Ne'er have those birds that fly through air attained to thy high dominion or thy might or spirit; Nor these the waters that flow on for ever nor hills abaters of the wind's wild fury. 
7,Varuna King of hallowed might sustaineth erect the Tree's stem in the baseless region. 
8,King Varuna hath made a spacious pathway a pathway for the Sun wherein to travel. 
9,A hundred balms are thine O King a thousand; deep and wide-reaching also be thy favours. 
10,Whither by day depart the constellations that shine at night set high in heaven above us? Varuna's holy laws remain unweakened and through the night the Moon moves on in splendor 
111,ask this of thee with my prayer adoring; thy worshipper craves this with his oblation. 
12,Nightly and daily this one thing they tell me this too the thought of mine own heart repeateth. 
13,Bound to three pillars captured Sunahsepa thus to the Aditya made his supplication. 
14,With bending down oblations sacrifices O Varuna we deprecate thine anger: 
15,Loosen the bonds O Varuna that hold me loosen the bonds above between and under. So in thy holy law may we made sinless belong to Aditi O thou Aditya. 
1,WHATEVER law of thine O God O Varurna as we are men 
2,give us not as a prey to death to be destroyed by thee in wrath. 
3,To gain thy mercy Varuna with hymns we bind thy heart as binds The charioteer his tethered horse. 
4,They flee from me dispirited bent only on obtaining wealths As to their nests the birds of air. 
5,When shall we bring to be appeased the Hero Lord of warrior might 
6,This this with joy they both accept in common: never do they fail The ever-faithful worshipper. 
7,He knows the path of birds that fly through heaven and Sovran of the sea 
8,True to his holy law he knows the twelve moons with their progeny: 
9,He knows the pathway of the wind the spreading high and mighty wind He knows the Gods who dwell above. 
10,Varuna true to holy law sits down among his people; he. 
1,1 From thence percerving he beholds all wondrous things both what hath been And what hereafter will be done. 
12,May that Aditya very -wise make fair paths for us all our days: 
13,Varuna wearing golden mail hath clad him in a shining robe. 
14,The God whom enemies threaten not nor those who tyrannize o'er men 
15,He who gives glory to mankind not glory that is incomplete 
16,Yearning for the wide-seeing One my thoughts move onward unto him. 
17,Once more together let us speak because my meath is brought: priest-like Thou eatest what is dear to thee. 
18,Now saw I him whom all may see 1 saw his car above the earth: 
19,Varuna hear this call of mine: be gracious unto us this day Longing for help 1 cried to thee. 
20,Thou. O wise God art Lord of all thou art the King of earth and heaven Hear as thou goest on thy way. 
2,1 Release us from the upper bond untie the bond between and loose The bonds below that 1 may live. 
1,O WORTHY of oblation Lord of prospering powers assume thy robes 
2,Sit ever to be chosen as our Priest. most youthful through our hymns 
3,For here a Father for his son Kinsman for kinsman worshippeth. 
4,Fiere let the foe-destroyers sit Varuna Mitra Aryaman 
5,O ancient Herald be thou glad in this our rite and fellowship: 
6,Whate'er in this perpetual course we sacrifice to God and God 
7,May he be our deal - household Lord Priest pleasant and choice-worthy may We with bright fires be dear to him. 
8,The Gods adored with brilliant fires have granted precious wealth to us So with bright fires we pray to thee. 
9,And O Immortal One so may the eulogies of mortal men Belong to us and thee alike. 
10,With all thy fires O Agni find pleasure in this our sacrifice 
1,WITH worship will I glorify thee Agni like a long-tailed steed Imperial Lord of sacred rites. 
2,May the far-striding Son of Strength bringer of great felicity 
3,Lord of all life from near; from far do thou O Agni evermore Protect us from the sinful man. 
4,O Agni graciously announce this our oblation to the Gods 
5,Give us a share of strength most high a share of strength that is below A share of strength that is between. 
6,Thou dealest gifts resplendent One; nigh as with waves of Sindhu thou Swift streamest to the worshipper. 
7,That man is lord of endless strength whom thou protectest in the fight Agni or urgest to the fray. 
8,Him whosoever he may be no man may vanquish mighty One: 
9,May he who dwells with all mankind bear us with war-steeds through the fight. 
10,Help thou who knowest lauds this work this eulogy to Rudra him Adorable in every house. 
1,1 May this our God great limitless smoke-bannered excellently bright. 
12,Like some rich Lord of men may he Agni the banner of the Gods 
13,Glory to Gods the mighty and the lesser glory to Gods the younger and the elder! 
1,THERE where the broad-based stone raised on high to press the juices out 
2,Where like broad hips to hold the juice the platters of the press are laid 
3,There where the woman marks and leans the pestle's constant rise and fall 
4,Where as with reins to guide a horse they bind the churning-staff with cords 
5,If of a truth in every house O Mortar thou art set for work. 
6,O Sovran of the Forest as the wind blows soft in front of thee 
7,Best strength-givers ye stretch wide jaws O Sacrificial Implements 
8,Ye Sovrans of the Forest both swift with swift pressers press to-day Sweet Soma juice for Indra's drink. 
9,Take up in beakers what remains: the Soma on the filter pour and on the ox-hide set the dregs. 
1,O SOMA DRINKER ever true utterly hopeless though we be. 
2,O Lord of Strength whose jaws are strong great deeds are thine the powerful: Do thou O Indra give us hope of beauteous horses and of kine 
3,Lull thou asleep to wake no more the pair who on each other look Do thou O Indra give us help of beauteous horses and of kine 
4,Hero let hostile spirits sleep and every gentler genius wake: 
5,Destroy this ass O Indra who in tones discordant brays to thee: Do thou O Indra give us hope of beauteous horses and of kine 
6,Far distant on the forest fall the tempest in a circling course! 
7,Slay each reviler and destroy him who in secret injures us: 
1,WE seeking strength with Soma-drops fill full your Indra like a well 
2,Who lets a hundred of the pure a thousand of the milk-blent draughts Flow even as down a depth to him; 
3,When for the strong the rapturous joy he in this manner hath made room Within his belly like the sea. 
4,This is thine own. Thou drawest near as turns a pigeon to his mate: 
5,O Hero Lord of Bounties praised in hymns may power and joyfulness Be his who sings the laud to thee. 
6,Lord of a Hundred Powers stand up to lend us succour in this fight In others too let us agree. 
7,In every need in every fray we call as friends to succour us Indra the mightiest of all. 
8,If he will hear us let him come with succour of a thousand kinds 
9,I call him mighty to resist the Hero of our ancient home 
10,We pray to thee O much-invoked rich in all precious gifts O Friend 
12,Thus Soma-drinker may it be; thus Friend who wieldest thunder act To aid each wish as we desire. 
13,With Indra splendid feasts be ours rich in all strengthening things wherewith. 
14,Like thee thyself the singers' Friend thou mo vest as it were besought. 
15,That Satakratu thou to grace and please thy praisers as it were 
16,With champing neighing loudly-snorting horses Indra hath ever won himself great treasures A car of gold hath he whose deeds are wondrous received from us and let us too receive it. 
17,Come Asvins with enduring strength wealthy in horses and in kine And gold O ye of wondrous deeds. 
18,Your chariot yoked for both alike immortal ye of mighty acts 
19,High on the forehead of the Bull one chariot wheel ye ever keep 
20,What mortal O immortal Dawn enjoyeth thee? Where lovest thou? 
2,1 For we have had thee in our thoughts whether anear or far away Red-hued and like a dappled mare. 
22,Hither O Daughter of the Sky come thou with these thy strengthenings And send thou riches down to us. 
1,Thou Agni wast the earliest Angiras a Seer; thou wast a God thyself the Gods' auspicious Friend. After thy holy ordinance the Maruts sage active through wisdom -with their glittering spears were born 
2,O Agni thou the best and earliest Angiras fulfillest as a Sage the holy law of Gods. 
3,To Matarisvan first thou Agni wast disclosed and to Vivasvan through thy noble inward power. Heaven and Earth Vasu! shook at the choosing of the Priest: the burthen thou didst bear didst worship mighty Gods. 
4,Agni thou madest heaven to thunder for mankind; thou yet more pious for pious Pururavas. 
5,Thou Agni art a Bull who makes our store increase to be invoked by him who lifts the ladle up. 
6,Agni thou savest in the synod when pursued e’en him farseeing One! who walks in evil ways. 
7,For glory Agni day by day thou liftest up the mortal man to highest immortality 
8,O Agni highly lauded make our singer famous that he may win us store of riches: 
9,O blameless Agni lying in thy Parents' lap a God among the Gods be watchful for our good. 
10,Agni thou art our Providence our Father thou - we are thy brethren and thou art our spring of life in thee rich in good heroes guard of high decrees meet hundred thousand treasures O infallible! 
1,1 Thee Agni have the Gods made the first living One for living man Lord of the house of Nahusa. 
12,Worthy to be revered O Agni God preserve our wealthy patrons with thy succours and ourselves. Guard of our seed art thou aiding our cows to bear incessantly protecting in thy holy way. 
13,Agni thou art a guard close to the pious man; kindled art thou four-eyed! for him who is unarmed. With fond heart thou acceptest e'en the poor man's prayer when he hath brought his gift to gain security. 
14,Thou Agni gainest for the loudly-praising priest the highest wealth the object of a man's desire. 
15,Agni the man who giveth guerdon to the priests like well-sewn armour thou guardest on every side. He who with grateful food shows kindness in his house an offerer to the living is the type of heaven. 
16,Pardon we pray this sin of ours O Agni — the path which we have trodden widely straying 
17,As erst to Manus to Yayiti Angiras so Angiras! pure Agni! come thou to our hall 
18,By this our prayer be thou O Agni strengthened prayer made by us after our power and knowledge. Lead thou us therefore to increasing riches; endow us with thy strength-bestowing favour. 
1,1 WILL declare the manly deeds of Indra the first that he achieved the Thunder-wielder. 
2,He slew the Dragon lying on the mountain: his heavenly bolt of thunder Tvastar fashioned. 
3,Impetuous as a bull he chose the Soma and in three sacred beakers drank the juices. 
4,When Indra thou hadst slain the dragon's firstborn and overcome the charms of the enchanters 
5,Indra with his own great and deadly thunder smote into pieces Vrtra worst of Vrtras. 
6,He like a mad weak warrior challenged Indra the great impetuous many-slaying Hero. 
7,Footless and handless still he challenged Indra who smote him with his bolt between the shoulders. Emasculate yet claiming manly vigour thus Vrtra lay with scattered limbs dissevered. 
8,There as he lies like a bank-bursting river the waters taking courage flow above him. 
9,Then humbled was the strength of Vrtra's mother: Indra hath cast his deadly bolt against her. 
10,Rolled in the midst of never-ceasing currents flowing without a rest for ever onward. 
1,1 Guarded by Ahi stood the thralls of Dasas the waters stayed like kine held by the robber. 
12,A horse's tail wast thou when he O Indra smote on thy bolt; thou God without a second 
13,Nothing availed him lightning nothing thunder hailstorm or mist which had spread around him: 
14,Whom sawest thou to avenge the Dragon Indra that fear possessed thy heart when thou hadst slain hi 
15,Indra is King of all that moves and moves not of creatures tame and horned the Thunder-wielder. Over all living men he rules as Sovran containing all as spokes within the felly. 
1,Come fain for booty let us seek to Indra: yet more shall he increase his care that guides us. 
2,1 fly to him invisible Wealth-giver as flies the falcon to his cherished eyrie 
3,Mid all his host he bindeth on the quiver he driveth cattle from what foe he pleaseth: 
4,Thou slewest with thy bolt the wealthy Dasyu alone yet going with thy helpers Indra! 
5,Fighting with pious worshippers the riteless turned and fled Indra! with averted faces. 
6,They met in fight the army of the blameless then the Navagvas put forth all their power. 
7,Whether they weep or laugh thou hast o'erthrown them O Indra on the sky's extremest limit. 
8,Adorned with their array of gold and jewels they o'er the earth a covering veil extended. 
9,As thou enjoyest heaven and earth. O Indra on every side surrounded with thy greatness 
10,They who pervaded earth's extremest limit subdued not with their charms the Wealth-bestower: 
1,1 The waters flowed according to their nature; he raid the navigable streams waxed mighty. 
12,Indra broke through Ilibisa's strong castles and Suspa with his horn he cut to pieces: 
13,Fierce on his enemies fell Indra's weapon: with his shaip bull he rent their forts in pieces. 
14,Indra thou helpest Kutsa whom thou lovedst and guardedst brave Dagadyu when he battled 
15,Svitra's mild steer O Maghavan thou helpest in combat for the land mid Tugra's houses. 
1,Ye who observe this day be with us even thrice: far-stretching is you bounty Asvins and your course. To you as to a cloak in winter we cleave close: you are to be drawn nigh unto us by the wise. 
2,Three are the fellies in your honey-bearing car that travels after Soma's loved one as all know. 
3,Thrice in the self-same day ye Gods who banish want sprinkle ye thrice to-day our sacrifice with mea th; 
